iter	Passed	Remaining
0	6	6658
1	12	6037
2	17	5900
3	22	5700
4	27	5531
5	32	5369
6	36	5235
7	41	5095
8	45	5010
9	50	5001
10	53	4854
11	107	8885
12	117	8884
13	126	8925
14	132	8695
15	141	8725
16	147	8553
17	152	8316
18	157	8128
19	161	7930
20	166	7768
21	178	7913
22	182	7770
23	187	7638
24	192	7522
25	197	7397
26	201	7278
27	206	7152
28	210	7034
29	214	6927
30	218	6842
31	223	6752
32	227	6659
33	231	6578
34	235	6496
35	239	6421
36	243	6344
37	247	6275
38	250	6182
39	255	6128
40	260	6081
41	264	6025
42	268	5971
43	272	5919
44	276	5873
45	281	5832
46	285	5788
47	289	5744
48	293	5700
49	297	5656
50	301	5617
51	306	5580
52	310	5542
53	314	5506
54	318	5471
55	322	5443
56	326	5407
57	331	5377
58	335	5345
59	339	5314
60	343	5286
61	347	5258
62	352	5235
63	356	5208
64	360	5181
65	364	5157
66	368	5133
67	372	5108
68	377	5090
69	381	5070
70	385	5048
71	389	5025
72	394	5005
73	398	4983
74	402	4964
75	406	4943
76	410	4925
77	415	4905
78	419	4886
79	423	4868
80	427	4851
81	431	4833
82	435	4815
83	440	4799
84	444	4787
85	449	4778
86	454	4767
87	458	4755
88	463	4748
89	468	4733
90	472	4719
91	476	4705
92	481	4692
93	485	4678
94	490	4669
95	494	4655
96	499	4646
97	503	4636
98	508	4624
99	512	4616
100	517	4604
101	521	4590
102	525	4579
103	530	4566
104	534	4554
105	538	4543
106	543	4533
107	547	4522
108	551	4510
109	556	4500
110	560	4491
111	565	4480
112	570	4474
113	574	4464
114	579	4456
115	583	4446
116	587	4434
117	592	4429
118	597	4419
119	601	4409
120	605	4399
121	610	4390
122	614	4381
123	618	4370
124	623	4362
125	627	4351
126	631	4341
127	636	4336
128	640	4326
129	645	4317
130	649	4307
131	653	4297
132	658	4289
133	662	4279
134	666	4272
135	671	4265
136	675	4255
137	680	4248
138	684	4238
139	688	4230
140	692	4221
141	697	4213
142	701	4201
143	705	4192
144	709	4183
145	713	4173
146	717	4165
147	722	4156
148	726	4147
149	730	4139
150	735	4133
151	739	4126
152	743	4118
153	748	4111
154	752	4104
155	757	4098
156	762	4093
157	767	4089
158	771	4082
159	776	4075
160	780	4066
161	784	4058
162	789	4051
163	793	4044
164	797	4037
165	802	4030
166	806	4024
167	811	4018
168	815	4010
169	820	4004
170	824	3997
171	829	3991
172	833	3985
173	838	3979
174	842	3971
175	846	3963
176	851	3957
177	855	3950
178	859	3943
179	864	3938
180	868	3931
181	873	3924
182	878	3920
183	882	3915
184	886	3904
185	889	3892
186	894	3887
187	898	3880
188	902	3874
189	907	3869
190	911	3862
191	916	3855
192	920	3849
193	924	3842
194	929	3836
195	933	3828
196	937	3822
197	942	3815
198	946	3809
199	951	3805
200	955	3799
201	960	3793
202	964	3786
203	968	3780
204	973	3773
205	977	3767
206	982	3762
207	986	3755
208	990	3749
209	994	3742
210	999	3736
211	1003	3730
212	1007	3723
213	1012	3718
214	1016	3713
215	1021	3707
216	1024	3695
217	1028	3688
218	1032	3681
219	1036	3675
220	1041	3669
221	1045	3664
222	1049	3658
223	1054	3652
224	1058	3646
225	1062	3640
226	1067	3634
227	1072	3629
228	1076	3623
229	1080	3618
230	1085	3613
231	1090	3608
232	1094	3601
233	1098	3595
234	1102	3589
235	1106	3583
236	1111	3577
237	1115	3571
238	1119	3565
239	1124	3559
240	1128	3553
241	1131	3542
242	1135	3536
243	1139	3529
244	1143	3524
245	1148	3519
246	1150	3508
247	1155	3503
248	1159	3497
249	1164	3492
250	1168	3486
251	1173	3481
252	1177	3475
253	1181	3470
254	1185	3464
255	1190	3459
256	1194	3454
257	1199	3449
258	1203	3444
259	1208	3439
260	1212	3434
261	1218	3432
262	1223	3429
263	1228	3426
264	1233	3421
265	1238	3417
266	1242	3412
267	1247	3406
268	1251	3400
269	1255	3394
270	1259	3389
271	1264	3383
272	1268	3378
273	1273	3373
274	1277	3367
275	1281	3361
276	1285	3355
277	1289	3349
278	1294	3344
279	1298	3338
280	1302	3333
281	1306	3327
282	1311	3321
283	1315	3316
284	1319	3310
285	1323	3304
286	1328	3299
287	1332	3294
288	1337	3289
289	1341	3284
290	1345	3278
291	1349	3272
292	1354	3267
293	1358	3262
294	1363	3257
295	1367	3253
296	1372	3247
297	1376	3242
298	1380	3237
299	1385	3232
300	1389	3227
301	1394	3222
302	1396	3212
303	1401	3207
304	1405	3203
305	1410	3198
306	1414	3193
307	1418	3187
308	1422	3181
309	1427	3177
310	1431	3171
311	1435	3165
312	1440	3161
313	1445	3158
314	1449	3152
315	1454	3147
316	1458	3142
317	1463	3137
318	1467	3132
319	1471	3127
320	1476	3122
321	1480	3116
322	1484	3111
323	1486	3101
324	1490	3096
325	1495	3091
326	1498	3083
327	1502	3078
328	1507	3073
329	1511	3068
330	1515	3063
331	1520	3059
332	1525	3055
333	1529	3050
334	1534	3045
335	1538	3039
336	1542	3034
337	1547	3030
338	1551	3025
339	1556	3021
340	1560	3016
341	1565	3012
342	1570	3007
343	1574	3002
344	1579	2998
345	1584	2994
346	1588	2990
347	1592	2983
348	1596	2978
349	1601	2973
350	1605	2968
351	1609	2963
352	1614	2958
353	1618	2953
354	1622	2948
355	1627	2943
356	1631	2938
357	1635	2933
358	1640	2928
359	1644	2923
360	1649	2918
361	1653	2913
362	1657	2908
363	1662	2904
364	1666	2899
365	1671	2894
366	1675	2889
367	1679	2884
368	1683	2879
369	1688	2874
370	1692	2869
371	1696	2864
372	1701	2860
373	1706	2855
374	1710	2851
375	1714	2844
376	1718	2839
377	1723	2835
378	1727	2830
379	1731	2825
380	1736	2820
381	1738	2813
382	1743	2808
383	1747	2802
384	1751	2797
385	1755	2792
386	1759	2787
387	1764	2782
388	1768	2777
389	1772	2773
390	1777	2768
391	1781	2762
392	1785	2757
393	1789	2752
394	1793	2747
395	1798	2742
396	1802	2737
397	1806	2732
398	1810	2727
399	1814	2722
400	1819	2717
401	1824	2713
402	1828	2708
403	1832	2703
404	1836	2698
405	1841	2693
406	1845	2688
407	1849	2683
408	1853	2678
409	1858	2673
410	1862	2669
411	1866	2664
412	1870	2659
413	1875	2654
414	1879	2648
415	1883	2644
416	1887	2639
417	1891	2634
418	1895	2629
419	1900	2623
420	1904	2618
421	1908	2613
422	1911	2607
423	1915	2602
424	1920	2597
425	1924	2593
426	1928	2588
427	1932	2583
428	1936	2578
429	1941	2572
430	1945	2567
431	1949	2562
432	1953	2558
433	1958	2553
434	1962	2548
435	1966	2543
436	1970	2539
437	1974	2533
438	1978	2528
439	1980	2521
440	1985	2516
441	1989	2511
442	1993	2506
443	1998	2502
444	2002	2497
445	2006	2492
446	2010	2487
447	2014	2482
448	2019	2477
449	2023	2473
450	2028	2468
451	2032	2464
452	2036	2459
453	2040	2454
454	2045	2449
455	2049	2444
456	2053	2439
457	2057	2434
458	2061	2430
459	2066	2425
460	2070	2420
461	2074	2416
462	2079	2411
463	2083	2406
464	2087	2401
465	2091	2397
466	2096	2392
467	2100	2387
468	2104	2383
469	2109	2378
470	2113	2374
471	2118	2369
472	2122	2364
473	2127	2360
474	2131	2355
475	2135	2351
476	2138	2344
477	2142	2339
478	2147	2335
479	2151	2331
480	2156	2326
481	2160	2321
482	2164	2316
483	2166	2310
484	2171	2305
485	2175	2300
486	2179	2296
487	2184	2291
488	2188	2287
489	2193	2282
490	2197	2278
491	2202	2273
492	2206	2269
493	2210	2264
494	2215	2260
495	2219	2255
496	2224	2251
497	2229	2246
498	2233	2242
499	2238	2238
500	2243	2234
501	2247	2229
502	2251	2225
503	2256	2220
504	2260	2215
505	2264	2211
506	2269	2206
507	2273	2202
508	2278	2197
509	2282	2192
510	2286	2187
511	2290	2183
512	2294	2178
513	2299	2174
514	2303	2169
515	2308	2165
516	2312	2160
517	2316	2155
518	2321	2151
519	2325	2146
520	2330	2142
521	2334	2137
522	2339	2133
523	2343	2128
524	2347	2124
525	2352	2119
526	2356	2115
527	2361	2110
528	2365	2106
529	2370	2101
530	2374	2097
531	2378	2092
532	2382	2087
533	2386	2083
534	2391	2078
535	2395	2074
536	2400	2069
537	2404	2064
538	2408	2060
539	2413	2055
540	2417	2050
541	2421	2046
542	2426	2042
543	2430	2037
544	2435	2033
545	2439	2028
546	2443	2023
547	2447	2018
548	2452	2014
549	2456	2010
550	2461	2005
551	2466	2001
552	2470	1996
553	2474	1992
554	2478	1987
555	2483	1983
556	2487	1978
557	2492	1974
558	2497	1969
559	2501	1965
560	2505	1960
561	2509	1956
562	2514	1951
563	2518	1946
564	2522	1942
565	2527	1937
566	2532	1933
567	2536	1928
568	2540	1924
569	2544	1919
570	2548	1914
571	2553	1910
572	2557	1905
573	2561	1901
574	2565	1896
575	2569	1891
576	2574	1887
577	2578	1882
578	2583	1878
579	2587	1873
580	2591	1869
581	2595	1864
582	2600	1859
583	2604	1855
584	2608	1850
585	2613	1846
586	2617	1841
587	2621	1836
588	2626	1832
589	2630	1827
590	2634	1823
591	2639	1818
592	2643	1814
593	2647	1809
594	2652	1805
595	2656	1800
596	2660	1796
597	2665	1791
598	2669	1786
599	2673	1782
600	2677	1777
601	2681	1773
602	2686	1768
603	2690	1764
604	2695	1759
605	2699	1755
606	2704	1750
607	2708	1746
608	2712	1741
609	2717	1737
610	2721	1732
611	2725	1727
612	2729	1723
613	2733	1718
614	2737	1713
615	2742	1709
616	2746	1705
617	2751	1700
618	2755	1696
619	2760	1691
620	2764	1687
621	2768	1682
622	2772	1678
623	2777	1673
624	2781	1668
625	2785	1664
626	2789	1659
627	2794	1655
628	2798	1650
629	2802	1645
630	2807	1641
631	2811	1637
632	2815	1632
633	2820	1628
634	2824	1623
635	2828	1618
636	2832	1614
637	2837	1609
638	2842	1605
639	2846	1601
640	2851	1596
641	2856	1592
642	2860	1588
643	2865	1583
644	2869	1579
645	2874	1574
646	2878	1570
647	2882	1565
648	2886	1561
649	2890	1556
650	2894	1551
651	2898	1547
652	2903	1542
653	2907	1538
654	2911	1533
655	2915	1529
656	2920	1524
657	2924	1519
658	2928	1515
659	2933	1510
660	2937	1506
661	2941	1501
662	2945	1497
663	2950	1492
664	2954	1488
665	2958	1483
666	2962	1479
667	2967	1474
668	2971	1470
669	2975	1465
670	2979	1460
671	2983	1456
672	2987	1451
673	2991	1447
674	2996	1442
675	3000	1438
676	3004	1433
677	3008	1428
678	3012	1424
679	3016	1419
680	3020	1415
