iter	Passed	Remaining
0	6	6095
1	11	5858
2	16	5633
3	23	5734
4	29	5824
5	34	5666
6	39	5563
7	45	5592
8	50	5512
9	55	5511
10	61	5522
11	66	5514
12	73	5550
13	78	5525
14	83	5488
15	89	5518
16	94	5487
17	100	5469
18	106	5505
19	111	5460
20	116	5421
21	122	5430
22	127	5419
23	132	5389
24	138	5416
25	143	5386
26	149	5380
27	154	5363
28	160	5361
29	165	5339
30	169	5306
31	175	5318
32	181	5314
33	186	5299
34	191	5292
35	197	5285
36	202	5275
37	210	5333
38	216	5343
39	224	5385
40	230	5384
41	235	5372
42	241	5364
43	246	5346
44	250	5321
45	255	5307
46	261	5294
47	266	5276
48	271	5266
49	276	5250
50	280	5228
51	286	5217
52	291	5210
53	296	5194
54	301	5186
55	306	5174
56	311	5155
57	316	5143
58	322	5139
59	327	5128
60	332	5119
61	337	5112
62	342	5099
63	347	5085
64	353	5081
65	357	5066
66	362	5052
67	368	5055
68	373	5039
69	378	5026
70	383	5020
71	388	5008
72	393	4994
73	398	4987
74	403	4973
75	407	4959
76	413	4957
77	418	4949
78	423	4940
79	429	4938
80	434	4928
81	439	4916
82	444	4911
83	449	4901
84	454	4893
85	459	4888
86	465	4879
87	469	4869
88	475	4867
89	480	4859
90	485	4850
91	491	4848
92	496	4841
93	501	4833
94	507	4829
95	512	4822
96	517	4816
97	523	4814
98	528	4806
99	533	4800
100	539	4803
101	546	4809
102	551	4803
103	556	4797
104	562	4791
105	567	4785
106	572	4781
107	578	4775
108	583	4766
109	588	4765
110	594	4760
111	600	4757
112	605	4750
113	610	4745
114	616	4744
115	622	4743
116	628	4742
117	633	4737
118	639	4736
119	645	4732
120	651	4735
121	657	4732
122	663	4728
123	668	4720
124	672	4709
125	678	4703
126	682	4694
127	687	4684
128	692	4679
129	698	4673
130	703	4666
131	708	4657
132	713	4653
133	719	4648
134	725	4647
135	730	4642
136	735	4635
137	741	4632
138	747	4628
139	752	4622
140	758	4618
141	763	4610
142	766	4593
143	771	4587
144	777	4584
145	782	4578
146	788	4574
147	794	4571
148	799	4567
149	805	4564
150	811	4559
151	815	4552
152	821	4547
153	826	4541
154	832	4538
155	838	4536
156	843	4531
157	849	4529
158	855	4526
159	861	4525
160	867	4521
161	873	4516
162	878	4513
163	885	4513
164	890	4506
165	895	4500
166	901	4494
167	906	4489
168	911	4481
169	916	4476
170	922	4472
171	928	4468
172	933	4463
173	938	4457
174	944	4450
175	949	4445
176	954	4440
177	959	4432
178	965	4426
179	970	4420
180	974	4411
181	979	4404
182	985	4398
183	989	4389
184	993	4376
185	998	4367
186	1002	4360
187	1007	4353
188	1012	4345
189	1017	4338
190	1022	4330
191	1027	4323
192	1032	4316
193	1036	4307
194	1041	4300
195	1046	4291
196	1050	4282
197	1055	4275
198	1060	4270
199	1065	4261
200	1070	4255
201	1075	4247
202	1079	4237
203	1082	4225
204	1088	4220
205	1093	4212
206	1097	4204
207	1102	4196
208	1106	4188
209	1110	4179
210	1115	4170
211	1120	4164
212	1125	4157
213	1129	4148
214	1134	4141
215	1138	4133
216	1143	4124
217	1147	4117
218	1152	4110
219	1156	4101
220	1161	4094
221	1167	4090
222	1172	4084
223	1177	4077
224	1182	4073
225	1187	4066
226	1192	4060
227	1197	4054
228	1202	4047
229	1206	4040
230	1211	4032
231	1216	4026
232	1221	4019
233	1226	4013
234	1231	4008
235	1236	4001
236	1240	3993
237	1245	3987
238	1249	3979
239	1254	3972
240	1258	3964
241	1263	3957
242	1268	3951
243	1272	3943
244	1278	3938
245	1283	3933
246	1288	3927
247	1293	3921
248	1298	3915
249	1302	3907
250	1306	3899
251	1312	3895
252	1316	3887
253	1321	3880
254	1326	3874
255	1330	3867
256	1335	3860
257	1340	3854
258	1344	3847
259	1349	3840
260	1353	3833
261	1358	3827
262	1363	3821
263	1368	3814
264	1373	3809
265	1378	3803
266	1383	3797
267	1389	3794
268	1394	3789
269	1399	3783
270	1404	3778
271	1409	3772
272	1414	3766
273	1419	3759
274	1423	3753
275	1428	3747
276	1433	3742
277	1439	3737
278	1444	3732
279	1448	3725
280	1453	3719
281	1459	3715
282	1464	3710
283	1469	3705
284	1475	3700
285	1480	3695
286	1485	3691
287	1490	3686
288	1496	3680
289	1500	3674
290	1505	3668
291	1510	3662
292	1515	3656
293	1520	3651
294	1525	3645
295	1530	3640
296	1535	3633
297	1540	3627
298	1544	3621
299	1549	3616
300	1554	3609
301	1559	3605
302	1564	3599
303	1568	3590
304	1573	3584
305	1577	3578
306	1582	3571
307	1586	3565
308	1591	3559
309	1596	3553
310	1601	3547
311	1606	3542
312	1610	3535
313	1615	3528
314	1620	3523
315	1624	3516
316	1628	3509
317	1633	3504
318	1638	3497
319	1642	3490
320	1647	3484
321	1651	3478
322	1656	3471
323	1660	3464
324	1665	3459
325	1668	3449
326	1673	3443
327	1677	3437
328	1682	3431
329	1687	3425
330	1691	3418
331	1696	3413
332	1701	3407
333	1705	3401
334	1710	3395
335	1715	3389
336	1719	3383
337	1724	3377
338	1729	3371
339	1734	3366
340	1739	3360
341	1743	3354
342	1748	3348
343	1752	3342
344	1757	3337
345	1760	3327
346	1763	3318
347	1767	3311
348	1773	3308
349	1778	3303
350	1783	3297
351	1788	3291
352	1792	3286
353	1797	3280
354	1802	3274
355	1807	3268
356	1811	3263
357	1816	3257
358	1821	3252
359	1825	3246
360	1830	3240
361	1835	3234
362	1840	3229
363	1844	3223
364	1849	3217
365	1854	3212
366	1857	3203
367	1862	3197
368	1866	3192
369	1871	3187
370	1876	3181
371	1880	3175
372	1885	3169
373	1890	3164
374	1894	3158
375	1899	3152
376	1904	3146
377	1909	3141
378	1913	3135
379	1918	3129
380	1922	3123
381	1927	3117
382	1931	3111
383	1936	3106
384	1940	3100
385	1945	3094
386	1950	3088
387	1954	3083
388	1959	3077
389	1961	3068
390	1966	3063
391	1971	3058
392	1976	3052
393	1981	3047
394	1986	3041
395	1990	3035
396	1995	3030
397	2000	3025
398	2004	3019
399	2009	3014
400	2012	3006
401	2017	3001
402	2022	2995
403	2026	2990
404	2031	2984
405	2035	2978
406	2040	2972
407	2045	2967
408	2049	2961
409	2054	2956
410	2059	2951
411	2064	2946
412	2068	2940
413	2073	2935
414	2078	2929
415	2083	2924
416	2087	2918
417	2092	2913
418	2096	2907
419	2101	2901
420	2106	2896
421	2111	2892
422	2116	2886
423	2120	2880
424	2125	2875
425	2129	2869
426	2134	2864
427	2139	2859
428	2144	2854
429	2149	2848
430	2153	2843
431	2158	2838
432	2163	2832
433	2167	2827
434	2172	2821
435	2176	2815
436	2181	2810
437	2186	2805
438	2191	2800
439	2195	2794
440	2200	2789
441	2206	2785
442	2211	2780
443	2216	2776
444	2221	2771
445	2226	2765
446	2231	2760
447	2236	2755
448	2241	2750
449	2246	2746
450	2252	2741
451	2257	2736
452	2261	2731
453	2267	2726
454	2271	2721
455	2277	2716
456	2282	2712
457	2287	2707
458	2292	2701
459	2297	2697
460	2302	2691
461	2307	2686
462	2312	2682
463	2317	2676
464	2322	2671
465	2326	2666
466	2331	2661
467	2336	2656
468	2342	2652
469	2347	2647
470	2352	2642
471	2357	2637
472	2362	2631
473	2367	2626
474	2372	2621
475	2377	2616
476	2381	2611
477	2386	2606
478	2391	2601
479	2396	2596
480	2400	2590
481	2405	2585
482	2410	2580
483	2415	2575
484	2420	2570
485	2425	2564
486	2429	2559
487	2434	2554
488	2440	2549
489	2444	2544
490	2448	2538
491	2454	2533
492	2458	2528
493	2464	2524
494	2469	2519
495	2474	2514
496	2478	2508
497	2483	2503
498	2488	2498
499	2493	2493
500	2497	2487
501	2502	2483
502	2507	2477
503	2511	2471
504	2516	2466
505	2521	2461
506	2525	2455
507	2530	2450
508	2535	2445
509	2539	2439
510	2543	2434
511	2548	2429
512	2553	2423
